"SubjectID","ParticipantAge","ParticipantGender","Nationality","FirstLanguage","LearningEnglish","LearningChinese","ChineseSchool","EnglishSchool","SpokenChinese","WrittenChinese","ChineseReading","SpokenEnglish","WrittenEnglish","EnglishReading","Current%Chinese","Current%English","Childhood%Chinese","Childhood%English","OtherLanguageKnowledge","EnglishLexTale","ChineseLexTale"
4684329,24,"Female","chinese","Chinese","9","0","16",16,7,6,7,5,6,7,35,65,100,0,"No",56.25,83.3333333333333
4684454,36,"Female","China","Chinese","6","1","16",10,7,6,7,6,5,6,60,40,90,10,"Yes",87.5,86.6666666666667
4684502,24,"Female","Canadian","Chinese","5","0","2 (preschool + grade 1)",14,5,2,5,7,7,7,25,75,65,35,"Yes",97.5,73.3333333333333
4684813,25,"Male","China","Chinese","6","0","18",0,7,7,7,3,4,4,30,10,100,30,"Yes",50,64.1666666666667
4684922,26,"Female","China","Chinese","4","0","14",9,7,7,7,7,7,7,60,40,99,1,"No",95,92.5
4684902,37,"Male","Chinese","Chinese","8","1","14",12,6,5,6,3,5,6,51,49,99,1,"No",75,79.1666666666667
4684983,24,"Female","Chinese","Chinese","13","3","16",10,7,7,7,5,5,6,96,75,98,20,"No",56.25,85.8333333333333
4684999,21,"Female","Canadian","Chinese","5","1","0",18,5,3,3,7,7,7,20,80,45,55,"No",90,61.6666666666667
4685148,NA,"Female","Canada","Chinese","13","1","16",16,7,7,7,4,4,6,60,40,100,0,"No",51.25,77.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4685431,19,"Male","Chinese","Chinese","4","1","7",6,6,4,6,5,6,5,60,40,70,30,"No",81.25,75
4685428,33,"Male","Chinese American","Chinese","7","3","3",14,5,2,5,7,7,7,25,75,40,60,"No",95,79.1666666666667
4685510,19,"Female","Canadian","Chinese","6","2","3",13,7,5,7,7,7,7,10,90,40,60,"No",90,80
4685549,28,"Female","Canadian","Both","5","1","6",14,6,5,7,7,7,7,40,60,70,30,"No",87.5,85.8333333333333
4685420,31,"Female","chinese",NA,"7","0","31",24,7,7,7,4,4,4,95,5,100,0,"No",51.25,85.8333333333333
4685722,31,"Female","USA","Both","4","1","12",16,5,2,2,7,7,7,25,75,40,60,"No",96.25,50
4685429,18,"Male","Chinese","Chinese","3","0","7.5",5,5,3,5,5,3,5,20,80,95,5,"No",62.5,82.5
4685834,24,"Male","Chinese","Chinese","7","1","3",15,7,5,6,6,7,7,50,50,80,20,"Yes",67.5,55
4685511,21,"Female","china","Chinese","14","1","10",7,7,7,7,6,6,6,57,41,100,0,"Yes",66.25,82.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4686078,24,"Male","Canadian","Both","4","1","2",10,4,1,3,7,7,7,30,70,40,60,"No",90,75
4686064,38,"Male","Chinese","Chinese","13","1","18",16,7,7,7,6,6,7,47,53,100,4,"No",53.75,83.3333333333333
4686104,57,"Female","usa","Chinese","30","1","13",0,6,5,5,5,5,5,50,50,100,0,"No",80,80
4686126,55,"Male","Canada","Chinese","12","0","17",8,7,7,7,5,6,7,70,30,99,1,"No",75,85.8333333333333
4686141,26,"Female","Chinese","Chinese","6","0","12",14,7,7,7,6,6,6,20,80,95,5,"No",73.75,86.6666666666667
4686161,51,"Female","Chinese","Chinese","12 years old","Since birth","13",8,7,7,7,6,6,6,33,87,100,2,"No",55,82.5
4686176,39,"Male","Chinese","Chinese","13","0","22",11,7,7,7,7,6,5,100,88,100,5,"Yes",86.25,82.5
4686195,28,"Female","Chinese","Chinese","9","0","18",12,7,7,7,NA,NA,NA,50,50,100,0,"No",70,85
4686214,39,"Male","China","Chinese","5","0","13",16,7,7,7,6,6,6,9,97,100,0,"No",57.5,81.6666666666667
4686229,24,"Female","Chinese","Chinese","13","0","18",13,7,7,7,6,6,7,9,91,100,0,"No",83.75,85
4686239,37,"Female","chinese","Chinese","12","1","13",10,7,7,7,7,7,7,99,89,99,20,"No",62.5,85.8333333333333
4686220,28,"Male","China","Chinese","8","0","12",12,7,7,7,6,6,6,50,50,100,0,"No",68.75,87.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4686813,32,"Male","Chinese","Chinese","10","0","4",12,4,2,6,5,5,6,25,75,90,10,"No",77.5,80
4686822,24,"Female","Chinese","Chinese","13","0","12",9,7,7,7,4,5,5,62,38,100,0,"No",53.75,92.5
4686824,30,"Male","Chinese","Chinese","8","0","12",10,7,7,7,5,5,5,60,40,100,0,"Yes",58.75,85
4686845,32,"Male","Chinese","Chinese","9","3","12",12,7,7,7,6,5,6,50,50,98,2,"Yes",67.5,90
4686830,21,"Female","Chinese","Chinese","9","0","9",12,6,2,5,6,7,6,30,70,60,40,"Yes",75,90.8333333333333
4686887,26,"Non-binary","CHINA","Chinese","9","0","16",14,7,7,7,7,6,7,20,60,70,30,"Yes",50,86.6666666666667
4686888,39,"Male","chinese","Chinese","13","7","8",6,6,3,NA,4,3,3,55,67,71,38,"No",71.25,81.6666666666667
