"SubjectID","ParticipantAge","ParticipantGender","Nationality","FirstLanguage","LearningEnglish","LearningDutch","DutchSchool","EnglishSchool","SpokenDutch","WrittenDutch","DutchReading","SpokenEnglish","WrittenEnglish","EnglishReading","Current%Dutch","Current%English","Childhood%Dutch","Childhood%English","OtherLanguageKnowledge","OtherLanguages","SpeakingOtherLang","ReadingOtherLang","WritingOtherLang","EnglishLexTale","DutchLexTale"
3237194,"22","Female","Belgian","Dutch","14 years old","5 years old","Since kindergarten to university (around 17-18 years)","8 years",6,6,6,6,6,6,50,60,60,30,"Yes","French (mother tongue) and Spanish",7,7,5,85,76.25
3244330,"18","Male","Dutch/Persian","English","3","9","7","7",6,6,6,6,6,6,75,20,0,65,"Yes","Persian",5,1,2,60,76.25
3663165,"20","Female","Belgian","Dutch","12","0","18","6",7,7,7,6,6,7,75,25,100,0,"Yes","French & German",3,4,3,63.75,85
3669069,"21","Female","Belg","Dutch","16?","1-2j?","12j","6j",7,5,6,4,5,6,95,10,100,0,"No",NA,NA,NA,NA,60,86.25
3737471,"23 yrs","Female","Belgian","Dutch","around 6 yrs old","I've been raised Dutch from the start","Not sure if I should count kindergarten in. Without it 12 years.","4 years",6,4,6,5,5,6,84,23,90,10,"Yes","French",3,1,2,83.75,90
3783781,"44","Male","Belgian","Dutch","14","0","12","5",7,7,7,5,4,6,85,15,100,0,"Yes","German, French",5,6,4,95,100
3773275,"19","Female","Belgian","Dutch","10","1","12","6",7,6,6,5,6,6,90,10,95,5,"Yes","French, Spanish, German",4,6,5,71.25,77.5
3770648,"22","Male","Belgian","Dutch","10","1","16 (12 if university not included)","10 (6 if university not included)",7,7,7,7,7,7,50,50,80,20,"Yes","French",7,7,7,95,97.5
3767935,"23","Male","Belgian","Dutch","8","0","17","5",7,6,6,7,4,6,59,40,79,20,"Yes","French, German",3,2,1,75,83.75
3762785,"35","Female","Belgian","Dutch","11","0","12","5",7,7,7,6,6,6,80,20,100,0,"Yes","French, Spanish, German",6,6,6,77.5,90
3756770,"24","Female","belg","Dutch","12","0","12","6",6,6,6,5,4,5,71,29,95,5,"No",NA,NA,NA,NA,71.25,85
3744968,"20","Female","belgian","Dutch","11","birth","13","6",6,4,6,6,5,6,45,55,90,10,"Yes","french, a little bit german",4,5,3,77.5,80
3742130,"20","Male","Belgian","Dutch","8","1","15","6",7,7,7,5,5,6,70,30,90,10,"Yes","French",4,5,3,96.25,91.25
3738197,"12","Female","5","Both","1","1","1","1",4,4,4,4,4,4,0,0,0,0,"Yes",NA,NA,NA,NA,87.5,100
3736858,"22","Male","Belgian","Dutch","About 10-12","From birth","12","5",6,6,6,5,5,5,50,50,90,10,"Yes","French/german",4,4,4,88.75,92.5
3733139,"20","Female","Belgian","Dutch","10","1","12","5",6,6,6,5,5,6,90,80,95,20,"Yes","Spanish, French",4,5,4,92.5,87.5
3725675,"23","Male","Belgian","Dutch","8","3","20","11",5,5,5,5,4,7,29,10,49,25,"Yes","French",5,5,4,92.5,90
3715354,"22","Female","Belgium","Dutch","around 10","mother language: so as soon as I started talking, around 1 I would say","12","6 years in high school, 3 years in university",7,7,7,5,5,6,85,15,90,10,"Yes","french",4,5,4,88.75,87.5
