study,subject_id,age,gender,learning_english,school_english,spoken_english,written_english,reading_english,current_percent_english,childhood_percent_english,lex_tale_english,learning_english_pair,school_english_pair,spoken_english_pair,written_english_pair,reading_english_pair,current_percent_english_pair,childhood_percent_english_pair,lex_tale_english_pair
arabic_stroop_demographics,4517644,28,male,10,8,7,7,7,50,0,93.75,2,16,7,7,7,50,100,92.5
arabic_stroop_demographics,4515754,21,male,9,10,5,5,7,50,1,87.5,3,12,4,4,7,50,99,85
arabic_stroop_demographics,4515901,27,female,3-4 years of age,12,6,6,7,50,30,87.5,at birth,12,7,5,7,50,70,87.5
arabic_stroop_demographics,4515916,31,female,when i was 4 years old,12,6,4,7,35,10,97.5,since birth,12,7,5,7,65,90,97.5
arabic_stroop_demographics,4515896,26,male,6,12,5,4,5,20,5,88.75,4,12,6,4,5,40,60,77.5
arabic_stroop_demographics,4515908,21,female,12,6,6,7,7,60,21,82.5,1,15,4,6,7,40,65,85
arabic_stroop_demographics,4515860,24,female,1,18,7,7,7,100,100,85,8,0,5,6,7,15,5,85
arabic_stroop_demographics,4516036,29,male,school,school 12 years,6,4,5,70,41,65,mother tongue,arabic is my mother tongue,7,7,7,100,100,78.75
arabic_stroop_demographics,4515875,25,male,13,10,5,5,5,95,0,87.5,5,18,5,5,7,5,80,97.5
arabic_stroop_demographics,4516040,22,male,8,12,7,7,7,50,25,87.5,1,12,7,7,7,50,75,95
arabic_stroop_demographics,4516820,20,non-binary,3,14,7,7,7,85,10,71.25,1,17,7,6,7,15,90,65
arabic_stroop_demographics,4516827,26,female,3,20,7,7,7,90,60,96.25,birth,none,5,3,4,10,40,88.75
arabic_stroop_demographics,4516812,27,female,at 11,6 years in school,7,6,6,85,0,73.75,mother language,all school years (12 years),7,7,7,90,100,82.5
arabic_stroop_demographics,4516834,23,female,since first year of school (kindergarten),all years,7,7,7,50,50,72.5,mother language,all years,7,7,7,50,50,73.75
arabic_stroop_demographics,4516817,31,male,age 4,12,7,7,7,67,50,100,from birth,5,5,4,5,33,100,72.5
arabic_stroop_demographics,4516889,18,female,5,12,7,7,7,65,50,81.25,1,0,5,2,2,35,50,51.25
arabic_stroop_demographics,4516796,23,male,5,10,6,7,7,40,10,NA,2,13,7,6,7,35,80,NA
arabic_stroop_demographics,4517105,26,female,11 years old,12,5,5,3,80,0,61.25,5 years,6,6,4,6,100,100,75
arabic_stroop_demographics,4517117,24,male,7,10,6,5,6,53,10,68.75,4,13,6,4,7,47,90,88.75
arabic_stroop_demographics,4517044,25,male,6,10,6,6,7,40,10,71.25,0,12,7,7,7,60,90,95
arabic_stroop_demographics,4517041,25,male,4,12,7,7,7,100,56,63.75,1,12,7,7,7,51,100,92.5
arabic_stroop_demographics,4517204,25,male,9,9,6,6,6,80,30,96.25,6,12,4,5,5,20,70,82.5
arabic_stroop_demographics,4517252,23,female,4 years,12,6,6,NA,51,7,68.75,4 years,12,7,NA,7,51,93,55
arabic_stroop_demographics,4517275,20,female,16,3,5,5,5,50,0,68.75,0,11,7,7,7,50,100,88.75
arabic_stroop_demographics,4517326,21,female,at 10 years old,6 years,6,6,6,25,5,63.75,first language i learned,2 years,5,2,4,25,50,80
arabic_stroop_demographics,4517337,19,female,7,11,7,7,7,50,10,65,3,7,6,7,6,50,90,81.25
arabic_stroop_demographics,4517321,23,female,8,10,5,6,7,35,10,70,0,12,7,7,7,85,95,86.25
arabic_stroop_demographics,4517422,25,female,5,20,7,7,7,50,50,90,0,4,7,1,1,50,50,45
arabic_stroop_demographics,4517374,19,male,6,12,6,7,7,10,0,80,0,14,7,7,7,90,100,77.5
arabic_stroop_demographics,4519373,25,male,7,11,6,6,7,70,60,93.75,1,9,5,2,3,30,40,90
arabic_stroop_demographics,4519836,40,female,7,10,5,5,6,91,40,92.5,5,3,2,1,1,12,81,36.25
arabic_stroop_demographics,4520236,22,female,5,16,6,5,6,60,25,93.75,3,18,5,4,6,40,75,86.25
arabic_stroop_demographics,4522243,19,female,0,12,7,7,7,78,84,67.5,0,12,7,6,6,71,93,70
arabic_stroop_demographics,4527161,25,female,2,16,7,6,7,50,50,82.5,since birth,12,7,5,5,50,50,95
arabic_stroop_demographics,4522777,24,female,0,12,6,6,6,50,50,73.75,0,0,5,2,4,30,50,80
arabic_stroop_demographics,4521586,20,female,1,13,7,7,7,35,20,91.25,1,13,7,6,6,65,80,77.5
arabic_stroop_demographics,4520770,19,male,4,12,7,5,7,70,25,76.25,2,10,3,1,2,30,75,63.75
arabic_stroop_demographics,4520551,20,female,around 6,12,6,6,7,95,2,96.25,"dialectal arabic, since birth. classical arabic at 5",12,5,3,4,14,50,86.25
arabic_stroop_demographics,4520392,29,female,10,16,6,6,6,70,20,66.25,0,16,7,6,6,30,80,95
arabic_stroop_demographics,4520211,28,female,13,10,7,6,7,50,30,75,0,5,7,7,7,50,70,97.5
arabic_stroop_demographics,4519536,31,male,2,12,7,7,7,55,35,87.5,2,7,7,7,7,45,65,73.75
arabic_stroop_demographics,4519160,20,male,8,12,7,7,7,80,10,87.5,0,6,5,2,2,20,90,60
arabic_stroop_demographics,4519141,26,female,3,12,7,7,7,50,15,90,1,10,7,7,7,50,85,97.5
arabic_stroop_demographics,4518995,27,female,2,12,7,7,7,80,40,80,1,0,5,3,3,20,60,42.5
arabic_stroop_demographics,4518945,21,female,7 years old,10,7,7,7,50,33,85,sincei i was born,10,7,7,7,50,75,90
chinese_stroop_demographics,4684329,24,female,9,16,5,6,7,65,0,56.25,0,16,7,6,7,35,100,83.3333333333333
chinese_stroop_demographics,4684454,36,female,6,10,6,5,6,40,10,87.5,1,16,7,6,7,60,90,86.6666666666667
chinese_stroop_demographics,4684502,24,female,5,14,7,7,7,75,35,97.5,0,2 (preschool + grade 1),5,2,5,25,65,73.3333333333333
chinese_stroop_demographics,4684813,25,male,6,0,3,4,4,10,30,50,0,18,7,7,7,30,100,64.1666666666667
chinese_stroop_demographics,4684922,26,female,4,9,7,7,7,40,1,95,0,14,7,7,7,60,99,92.5
chinese_stroop_demographics,4684902,37,male,8,12,3,5,6,49,1,75,1,14,6,5,6,51,99,79.1666666666667
chinese_stroop_demographics,4684983,24,female,13,10,5,5,6,75,20,56.25,3,16,7,7,7,96,98,85.8333333333333
chinese_stroop_demographics,4684999,21,female,5,18,7,7,7,80,55,90,1,0,5,3,3,20,45,61.6666666666667
chinese_stroop_demographics,4685148,NA,female,13,16,4,4,6,40,0,51.25,1,16,7,7,7,60,100,77.5
chinese_stroop_demographics,4685431,19,male,4,6,5,6,5,40,30,81.25,1,7,6,4,6,60,70,75
chinese_stroop_demographics,4685428,33,male,7,14,7,7,7,75,60,95,3,3,5,2,5,25,40,79.1666666666667
chinese_stroop_demographics,4685510,19,female,6,13,7,7,7,90,60,90,2,3,7,5,7,10,40,80
chinese_stroop_demographics,4685549,28,female,5,14,7,7,7,60,30,87.5,1,6,6,5,7,40,70,85.8333333333333
chinese_stroop_demographics,4685420,31,female,7,24,4,4,4,5,0,51.25,0,31,7,7,7,95,100,85.8333333333333
chinese_stroop_demographics,4685722,31,female,4,16,7,7,7,75,60,96.25,1,12,5,2,2,25,40,50
chinese_stroop_demographics,4685429,18,male,3,5,5,3,5,80,5,62.5,0,7.5,5,3,5,20,95,82.5
