study,parameter,statistic,value
arabic_stroop,age,mean,24.318
arabic_stroop,age,sd,4.296
arabic_stroop,age,min,18
arabic_stroop,age,max,40
arabic_stroop,current_percent_english,mean,60.909
arabic_stroop,current_percent_english,sd,21.662
arabic_stroop,current_percent_english,min,10
arabic_stroop,current_percent_english,max,100
arabic_stroop,current_percent_english_pair,mean,45.091
arabic_stroop,current_percent_english_pair,sd,23.598
arabic_stroop,current_percent_english_pair,min,5
arabic_stroop,current_percent_english_pair,max,100
arabic_stroop,lex_tale_english,mean,80.994
arabic_stroop,lex_tale_english,sd,11.273
arabic_stroop,lex_tale_english,min,61.25
arabic_stroop,lex_tale_english,max,100
arabic_stroop,lex_tale_english_pair,mean,79.631
arabic_stroop,lex_tale_english_pair,sd,15.469
arabic_stroop,lex_tale_english_pair,min,36.25
arabic_stroop,lex_tale_english_pair,max,97.5
chinese_stroop,age,mean,29.622
chinese_stroop,age,sd,8.922
chinese_stroop,age,min,18
chinese_stroop,age,max,57
chinese_stroop,current_percent_english,mean,60.222
chinese_stroop,current_percent_english,sd,23.881
chinese_stroop,current_percent_english,min,5
chinese_stroop,current_percent_english,max,93
chinese_stroop,current_percent_english_pair,mean,45.867
chinese_stroop,current_percent_english_pair,sd,26.203
chinese_stroop,current_percent_english_pair,min,7
chinese_stroop,current_percent_english_pair,max,100
chinese_stroop,lex_tale_english,mean,72.139
chinese_stroop,lex_tale_english,sd,14.724
chinese_stroop,lex_tale_english,min,46.25
chinese_stroop,lex_tale_english,max,97.5
chinese_stroop,lex_tale_english_pair,mean,80.778
chinese_stroop,lex_tale_english_pair,sd,9.442
chinese_stroop,lex_tale_english_pair,min,50
chinese_stroop,lex_tale_english_pair,max,92.5
dutch_stroop,age,mean,23.348
dutch_stroop,age,sd,5.61
dutch_stroop,age,min,18
dutch_stroop,age,max,44
dutch_stroop,current_percent_english,mean,30.522
dutch_stroop,current_percent_english,sd,20.004
dutch_stroop,current_percent_english,min,1
dutch_stroop,current_percent_english,max,80
dutch_stroop,current_percent_english_pair,mean,66.848
dutch_stroop,current_percent_english_pair,sd,23.233
dutch_stroop,current_percent_english_pair,min,10
dutch_stroop,current_percent_english_pair,max,100
dutch_stroop,lex_tale_english,mean,80.571
dutch_stroop,lex_tale_english,sd,11.443
dutch_stroop,lex_tale_english,min,51.25
dutch_stroop,lex_tale_english,max,97.5
dutch_stroop,lex_tale_english_pair,mean,87.065
dutch_stroop,lex_tale_english_pair,sd,7.787
dutch_stroop,lex_tale_english_pair,min,65
dutch_stroop,lex_tale_english_pair,max,100
