study,name,value
arabic_stroop,age,0
arabic_stroop,current_percent_english,0
arabic_stroop,current_percent_english_pair,0
arabic_stroop,lex_tale_english,1
arabic_stroop,lex_tale_english_pair,1
chinese_stroop,age,1
chinese_stroop,current_percent_english,0
chinese_stroop,current_percent_english_pair,0
chinese_stroop,lex_tale_english,0
chinese_stroop,lex_tale_english_pair,0
dutch_stroop,age,0
dutch_stroop,current_percent_english,0
dutch_stroop,current_percent_english_pair,0
dutch_stroop,lex_tale_english,0
dutch_stroop,lex_tale_english_pair,0
